//HSK 2012-2017/Level 1
爱[愛]	ai4
八[八]	ba1
爸爸[爸爸]	ba4ba5
杯子[杯子]	bei1zi5
北京[北京]	Bei3jing1
本[本]	ben3
不[不]	bu4
不客气[不客氣]	bu2ke4qi5
菜[菜]	cai4
茶[茶]	cha2
吃[吃]	chi1
出租车[出租車]	chu1zu1che1
打电话[打電話]	da3dian4hua4
大[大]	da4
的[的]	de5
点[點]	dian3
电脑[電腦]	dian4nao3
电视[電視]	dian4shi4
电影[電影]	dian4ying3
东西[東西]	dong1xi5
都[都]	dou1
读[讀]	du2
对不起[對不起]	dui4bu5qi3
多[多]	duo1
多少[多少]	duo1shao5
儿子[兒子]	er2zi5
二[二]	er4
饭店[飯店]	fan4dian4
飞机[飛機]	fei1ji1
分钟[分鐘]	fen1zhong1
高兴[高興]	gao1xing4
个[個]	ge4
工作[工作]	gong1zuo4
狗[狗]	gou3
汉语[漢語]	Han4yu3
好[好]	hao3
号[號]	hao4
喝[喝]	he1
和[和]	he2
很[很]	hen3
后面[後面]	hou4mian5
回[回]	hui2
会[會]	hui4
几[幾]	ji3
家[家]	jia1
叫[叫]	jiao4
今天[今天]	jin1tian1
九[九]	jiu3
开[開]	kai1
看[看]	kan4
看见[看見]	kan4jian4
块[塊]	kuai4
来[來]	lai2
老师[老師]	lao3shi1
了[了]	le5
冷[冷]	leng3
里[里]	li3
六[六]	liu4
妈妈[媽媽]	ma1ma5
吗[嗎]	ma5
买[買]	mai3
猫[貓]	mao1
没关系[沒關係]	mei2guan1xi5
没有[沒有]	mei2you3
米饭[米飯]	mi3fan4
名字[名字]	ming2zi5
明天[明天]	ming2tian1
哪[哪]	na3
哪儿[哪兒]	na3r5
那[那]	na4
呢[呢]	ne5
能[能]	neng2
你[你]	ni3
年[年]	nian2
女儿[女兒]	nv3er2
朋友[朋友]	peng2you5
漂亮[漂亮]	piao4liang5
苹果[蘋果]	ping2guo3
七[七]	qi1
前面[前面]	qian2mian4
钱[錢]	qian2
请[請]	qing3
去[去]	qu4
热[熱]	re4
人[人]	ren2
认识[認識]	ren4shi5
三[三]	san1
商店[商店]	shang1dian4
上[上]	shang4
上午[上午]	shang4wu3
少[少]	shao3
谁[誰]	shei2	who
什么[什麼]	shen2me5
十[十]	shi2
时候[時候]	shi2hou5
是[是]	shi4
书[書]	shu1
水[水]	shui3
水果[水果]	shui3guo3
睡觉[睡覺]	shui4jiao4
说[說]	shuo1
四[四]	si4
岁[嵗]	sui4
他[他]	ta1
她[她]	ta1
太[太]	tai4
天气[天氣]	tian1qi4
听[聽]	ting1
同学[同學]	tong2xue2
喂[喂]	wei4
我[我]	wo3
我们[我們]	wo3men5
五[五]	wu3
喜欢[喜歡]	xi3huan5
下[下]	xia4
下午[下午]	xia4wu3
下雨[下雨]	xia4yu3
先生[先生]	xian1sheng5
现在[現在]	xian4zai4
想[想]	xiang3
小[小]	xiao3
小姐[小姐]	xiao3jie5
些[些]	xie1
写[寫]	xie3
谢谢[謝謝]	xie4xie5
星期[星期]	xing1qi1
学生[學生]	xue2sheng5
